Number Of Page,Number Of Trial,Average Time Access (ns)
1,100,9.53
2,100,40.84
4,100,48.89
8,100,65.46
16,100,59.86
32,100,64.07
64,100,68.32
128,100,66.75
256,100,66.23
512,100,68.09
1024,100,67.99
2048,100,70.94
4096,100,71.80
8192,100,76.89
16384,100,86.27
32768,100,87.48
65536,100,102.59
